"","OUD_Effect_Male_vs_Female_results","OUD_Effect_Putamen_vs_Caudate_results","OUD_vs_Control_Caudate_results","OUD_vs_Control_Female_results","OUD_vs_Control_Male_results","OUD_vs_Control_Putamen_results","Pooled_OUD_vs_Control_results"
"CTCFL",-0.915732381785668,0.476436983074214,-0.193686355239093,0.49319346744029,-0.827903821607162,0.37371187060465,0.16869476885898
"DUX4",-1.06772803089044,0.408172704205383,-0.455338104415108,0.456595052338708,-0.952976621199689,-0.0264802513400227,-0.349025755220768
"ELF5",0.205622307801831,0.0661941536201037,-0.995329244243622,-0.969844964544703,-0.877110404653845,-0.887935141750845,-1.28650329649429
"EOMES",0.249130724923816,0.774286631704009,0.162510736158828,0.293147175201847,0.621045232375875,0.84755609857779,0.573613492283867
"ETV1",0.0862376773742121,-0.141238882332226,-0.565347862674243,-0.442636475470708,-0.371237391024554,-0.626462793459424,-0.778070950092839
"FOXJ2",-0.455682674892215,1.12901556624331,-1.58494635744126,-0.577968093791115,-1.41984227090492,-0.506495872391366,-1.55483876208352
"FOXK1",0.50133184460129,-0.684562684027141,-0.0628264222121991,-0.537393766467464,0.0844102790034645,-0.647515561210179,-0.45814824650475
"FOXK2",-0.998805324766801,0.329640690330041,-0.349512890529455,0.777630113908016,-0.70133429534269,-0.165278918117442,-0.44378977241829
"MNT",0.405273417967247,-0.468914251877127,0.042720362043963,-0.2903774712298,0.307121644550528,-0.417773073991388,-0.175223375443565
"MEIS2",-0.895084596354882,-0.59834706915166,0.825394003900596,1.07573691953504,-0.0226503141749984,0.232814789802986,0.66495907881699
