"analysis","statistic","source","condition","score","p_value"
"OUD_Effect_Male_vs_Female_results_ulm","ulm","E2F3","OUD_Effect_Male_vs_Female_results",-2.14168303914811,0.0322281602836117
"OUD_Effect_Male_vs_Female_results_ulm","ulm","BCL11A","OUD_Effect_Male_vs_Female_results",-2.14042838242695,0.0323293370881624
"OUD_Effect_Male_vs_Female_results_ulm","ulm","POU2F1","OUD_Effect_Male_vs_Female_results",-2.09180599262766,0.0364654451247803
"OUD_Effect_Male_vs_Female_results_ulm","ulm","CEBPE","OUD_Effect_Male_vs_Female_results",-2.09060072765533,0.0365734511483557
"OUD_Effect_Male_vs_Female_results_ulm","ulm","IKZF1","OUD_Effect_Male_vs_Female_results",-2.08450253257116,0.0371241093350552
"OUD_Effect_Male_vs_Female_results_ulm","ulm","IRF4","OUD_Effect_Male_vs_Female_results",-2.08407649215547,0.0371628426017797
"OUD_Effect_Male_vs_Female_results_ulm","ulm","OTX2","OUD_Effect_Male_vs_Female_results",-2.05969552904691,0.0394374809449884
"OUD_Effect_Male_vs_Female_results_ulm","ulm","NR2F1","OUD_Effect_Male_vs_Female_results",-2.04719361053914,0.0406489985297996
"OUD_Effect_Male_vs_Female_results_ulm","ulm","NR1H2","OUD_Effect_Male_vs_Female_results",-2.01651660260848,0.0437561338949832
"OUD_Effect_Male_vs_Female_results_ulm","ulm","MAFF","OUD_Effect_Male_vs_Female_results",-2.01592827272211,0.0438176310170305
"OUD_Effect_Male_vs_Female_results_ulm","ulm","FOXO1","OUD_Effect_Male_vs_Female_results",-1.99651162293616,0.0458885570027858
"OUD_Effect_Male_vs_Female_results_ulm","ulm","ATF6","OUD_Effect_Male_vs_Female_results",-1.96407401256403,0.0495320308932473
"OUD_Effect_Male_vs_Female_results_ulm","ulm","MYBL2","OUD_Effect_Male_vs_Female_results",-1.96308076866521,0.0496473179840686
"OUD_Effect_Male_vs_Female_results_mlm","mlm","RXRG","OUD_Effect_Male_vs_Female_results",8.09566139298793,5.94267503251385e-16
"OUD_Effect_Male_vs_Female_results_mlm","mlm","RXRB","OUD_Effect_Male_vs_Female_results",-7.0384382813446,1.99232305064676e-12
"OUD_Effect_Male_vs_Female_results_mlm","mlm","STAT1","OUD_Effect_Male_vs_Female_results",-6.60013792548861,4.18680889902536e-11
"OUD_Effect_Male_vs_Female_results_mlm","mlm","E2F4","OUD_Effect_Male_vs_Female_results",-4.07238645303115,4.66716932551722e-05
"OUD_Effect_Male_vs_Female_results_mlm","mlm","ATF4","OUD_Effect_Male_vs_Female_results",-3.96013166031453,7.5107984728225e-05
"OUD_Effect_Male_vs_Female_results_mlm","mlm","MYC","OUD_Effect_Male_vs_Female_results",-3.91344319142611,9.12210476466336e-05
"OUD_Effect_Male_vs_Female_results_mlm","mlm","STAT3","OUD_Effect_Male_vs_Female_results",-3.8864198055373,0.000101985914121726
"OUD_Effect_Male_vs_Female_results_mlm","mlm","HIF1A","OUD_Effect_Male_vs_Female_results",-3.86130676074415,0.000113055239666863
"OUD_Effect_Male_vs_Female_results_mlm","mlm","NFKB2","OUD_Effect_Male_vs_Female_results",-3.79992976919538,0.000145066960483668
"OUD_Effect_Male_vs_Female_results_mlm","mlm","ETS1","OUD_Effect_Male_vs_Female_results",-3.73817173904328,0.000185760488889269
"OUD_Effect_Male_vs_Female_results_mlm","mlm","CEBPB","OUD_Effect_Male_vs_Female_results",-3.42737176993511,0.000610397791800436
"OUD_Effect_Male_vs_Female_results_mlm","mlm","THAP11","OUD_Effect_Male_vs_Female_results",-3.41704528063428,0.00063401681212381
"OUD_Effect_Male_vs_Female_results_mlm","mlm","E2F1","OUD_Effect_Male_vs_Female_results",-3.39826837887912,0.000679155890108255
"OUD_Effect_Male_vs_Female_results_mlm","mlm","AR","OUD_Effect_Male_vs_Female_results",-3.30508526876601,0.00095075982061409
"OUD_Effect_Male_vs_Female_results_mlm","mlm","CREB1","OUD_Effect_Male_vs_Female_results",3.29212052536017,0.000995675896329022
"OUD_Effect_Male_vs_Female_results_mlm","mlm","CEBPE","OUD_Effect_Male_vs_Female_results",-3.06984532678345,0.00214390434976599
"OUD_Effect_Male_vs_Female_results_mlm","mlm","CEBPA","OUD_Effect_Male_vs_Female_results",-3.00852334973677,0.00262771996496034
"OUD_Effect_Male_vs_Female_results_mlm","mlm","NR2C2","OUD_Effect_Male_vs_Female_results",-2.97691463629692,0.00291433322986593
"OUD_Effect_Male_vs_Female_results_mlm","mlm","HSF1","OUD_Effect_Male_vs_Female_results",-2.88413755018479,0.00392809554181976
"OUD_Effect_Male_vs_Female_results_mlm","mlm","FOS","OUD_Effect_Male_vs_Female_results",-2.84528306418271,0.00444066596644467
